No,DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Num Cited By,Num Cites,Maps,Included
1,10.3390/QUANTUM2010007,Secure Quantum Communication Technologies and Systems: From Labs to Markets,"Fabio Cavaliere, Enrico Prati, Luca Poti, Imran Muhammad, Tommaso Catuogno",Quantum Reports,2020,"We provide a broad overview of current quantum communication by analyzing the recent discoveries on the topic and by identifying the potential bottlenecks requiring further investigation. The analysis follows an industrial perspective, first identifying the state or the art in terms of protocols, systems, and devices for quantum communication. Next, we classify the applicative fields where short- and medium-term impact is expected by emphasizing the potential and challenges of different approaches. The direction and the methodology with which the scientific community is proceeding are discussed. Finally, with reference to the European guidelines within the Quantum Flagship initiative, we suggest a roadmap to match the effort community-wise, with the objective of maximizing the impact that quantum communication may have on our society.",3001721010,14,148,QuantumArticlesList.bib,
2,10.3390/QUANTUM2010014,Quantum Communications in Future Networks and Services,Antonio Manzalini,Quantum Reports,2020,"Over the last few years, we have witnessed an impressive growth of data traffic and a progressive Digital Transformation of Industry and Society: the deployment of the ultra-broadband and low latency network infrastructures (e.g., 5G) are leading to a global digitalization of several domains. These techno-economic trends are expected to continue and even accelerate in the next decade, at end of which, 6G and smart networks and services will be exploited. Innovation will continue to drive the global economy into the next decade. This paper draws some technology trends and applications scenarios for this horizon, where Quantum Optical Communications are likely to disrupt Information and Communications Technology (ICT) and Telecommunications. Among the enabling technologies and solutions moving in this direction, this paper briefly addresses: quantum optical switching and computing, THz-to-optical conversions and advanced metamaterials for smart radio-optical programmable environments and Artificial Intelligence. The paper concludes with the description of a future application scenario, called Quantum Optical Twin, where the above Quantum Optical Communications technologies are exploited to provide services such as: ultra-massive scale communications for connected spaces and ambient intelligence, holographic telepresence, tactile Internet, new paradigms of brain computer interactions, innovative forms of communications.",3011460647,18,48,QuantumArticlesList.bib,
3,(missing DOI),Toward a standardized methodology for constructing quantum computing use cases,"Nicholas Chancellor, Robert Cumming, Tim Thomas",arXiv: Artificial Intelligence,2020,"We propose a standardized methodology for developing and evaluating use cases for quantum computers and quantum inspired methods. This methodology consists of a standardized set of questions which should be asked to determine how and indeed if, near term quantum computing can play a role in a given application. Developing such a set of questions is important because it allows different use cases to be evaluated in a fair and objective way, rather than considering each case on an ad hoc basis which could lead to an evaluation which focuses on positives of a use case, while ignoring weaknesses. To demonstrate our methodology we apply it to a concrete use case, ambulance dispatch, and find that there are some ways in which near term quantum computing could be deployed sensibly, but also demonstrate some cases ways in which its use would not be advised. The purpose of this paper is to initiate a dialogue within the community of quantum computing scientists and potential end users on what questions should be asked when developing real world use cases.",3035744205,0,24,QuantumArticlesList.bib,
4,(missing DOI),Forecasting timelines of quantum computing,"Jaime Sevilla, C. Jess Riedel",arXiv: Quantum Physics,2020,"We consider how to forecast progress in the domain of quantum computing. For this purpose we collect a dataset of quantum computer systems to date, scored on their physical qubits and gate error rate, and we define an index combining both metrics, the generalized logical qubit. We study the relationship between physical qubits and gate error rate, and tentatively conclude that they are positively correlated (albeit with some room for doubt), indicating a frontier of development that trades-off between them. We also apply a log-linear regression on the metrics to provide a tentative upper bound on how much progress can be expected over time. Within the (generally optimistic) assumptions of our model, including the key assumption that exponential progress in qubit count and gate fidelity will continue, we estimate that that proof-of-concept fault-tolerant computation based onsuperconductor technology is unlikely (<5% confidence) to be exhibited before 2026, and that quantum devices capable of factoring RSA-2048 are unlikely (<5% confidence) to exist before 2039. It is of course possible that these milestones will in fact be reached earlier, but that this would require faster progress than has yet been seen.",3085453714,6,76,QuantumArticlesList.bib,
5,10.1049/IET-QTC.2020.0027,Present landscape of quantum computing,"Vikas Hassija, Vinay Chamola, Vikas Saxena, Vaibhav Chanana, Prakhar Parashari, Shahid Mumtaz, Mohsen Guizani",IET Quantum Communication,2020,"Quantum computing is currently a topic of interest that harnesses the phenomena of quantum mechanics. It can address several scientific challenges and generate new business opportunities. Recently, for the first time in the history of quantum computing, the authors are starting to see practical applications. Keeping this in mind, this article is designed to explore the field without any required prerequisites. The authors start with a brief overview of the fundamentals of quantum computing and also outline several applications. The timeline for widespread adoption cannot be predicted, but quite a few organisations have built the first generation of quantum computers using various hardware technologies. The authors have briefly covered the wide landscape of hardware technologies. The first generation of quantum computers can be programmed using available software development kits and accessed using online cloud services. Furthermore, the growing trend in investments and patents in the field of quantum computing is also presented. A major reason for this trend is the threat that quantum computers pose against cryptography.",3108273660,11,13,QuantumArticlesList.bib,
6,10.1007/978-3-030-62938-0_1,Introduction,"Roberto  Ferrara, Christian  Deppe, Holger  Boche, Gisbert  Janssen, Sajad  Saeedinaeeni, Frank H. P. Fitzek, Riccardo  Bassoli",Quantum Communication Networks,2020,(missing abstract),3183140084,0,34,QuantumArticlesList.bib,
7,(missing DOI),Cove: A Practical Quantum Computer Programming Framework,Matt Purkeypile,arXiv: Programming Languages,2009,"While not yet in commercial existence, quantum computers have the ability to solve certain classes of problems that are not efficiently solvable on existing Turing Machine based (classical) computers. For quantum computers to be of use, methods of programming them must exist. Proposals exist for programming quantum computers, but all of the existing ones suffer from flaws that make them impractical in commercial software development environments. Cove is a framework for programming quantum computers that extends existing classical languages to allow for quantum computation, thus providing a quantum computing toolkit for commercial software developers. Since the target users of Cove are commercial developers, it is an object oriented framework that can be used by multiple languages and also places emphasis on complete documentation. The focus of Cove is not so much on the software product, but on the fundamental concepts that make quantum computing practical for common developers.",1568293223,7,94,"Seed: Hassija, 2...",
8,10.1109/COMST.2016.2532458,Next Generation 5G Wireless Networks: A Comprehensive Survey,"Mamta Agiwal, Abhishek Roy, Navrati Saxena",IEEE Communications Surveys and Tutorials,2016,"The vision of next generation 5G wireless communications lies in providing very high data rates (typically of Gbps order), extremely low latency, manifold increase in base station capacity, and significant improvement in users’ perceived quality of service (QoS), compared to current 4G LTE networks. Ever increasing proliferation of smart devices, introduction of new emerging multimedia applications, together with an exponential rise in wireless data (multimedia) demand and usage is already creating a significant burden on existing cellular networks. 5G wireless systems, with improved data rates, capacity, latency, and QoS are expected to be the panacea of most of the current cellular networks’ problems. In this survey, we make an exhaustive review of wireless evolution toward 5G networks. We first discuss the new architectural changes associated with the radio access network (RAN) design, including air interfaces, smart antennas, cloud and heterogeneous RAN. Subsequently, we make an in-depth survey of underlying novel mm-wave physical layer technologies, encompassing new channel model estimation, directional antenna design, beamforming algorithms, and massive MIMO technologies. Next, the details of MAC layer protocols and multiplexing schemes needed to efficiently support this new physical layer are discussed. We also look into the killer applications, considered as the major driving force behind 5G. In order to understand the improved user experience, we provide highlights of new QoS, QoE, and SON features associated with the 5G evolution. For alleviating the increased network energy consumption and operating expenditure, we make a detail review on energy awareness and cost efficiency. As understanding the current status of 5G implementation is important for its eventual commercialization, we also discuss relevant field trials, drive tests, and simulation experiments. Finally, we point out major existing research issues and identify possible future research directions.",2343448572,1986,225,"Seed: Ferrara, 2...",
9,10.1088/1367-2630/AA59C4,Modernizing Quantum Annealing using Local Searches,Nicholas  Chancellor,(missing journal),2016,"I describe how real quantum annealers may be used to perform local (in state space) searches around specified states, rather than the global searches traditionally implemented in the quantum annealing algorithm. Such protocols will have numerous advantages over simple quantum annealing. By using such searches the effect of problem mis-specification can be reduced, as only energy differences between the searched states will be relevant. The quantum annealing algorithm is an analogue of simulated annealing, a classical numerical technique which has now been superseded. Hence, I explore two strategies to use an annealer in a way which takes advantage of modern classical optimization algorithms. Specifically, I show how sequential calls to quantum annealers can be used to construct analogues of population annealing and parallel tempering which use quantum searches as subroutines. The techniques given here can be applied not only to optimization, but also to sampling. I examine the feasibility of these protocols on real devices and note that implementing such protocols should require minimal if any change to the current design of the flux qubit-based annealers by D-Wave Systems Inc. I further provide proof-of-principle numerical experiments based on quantum Monte Carlo that demonstrate simple examples of the discussed techniques.",2463684002,65,55,Seed: Chancellor...,
10,10.1103/PHYSREVLETT.117.190501,Measurement-Device-Independent Quantum Key Distribution Over a 404 km Optical Fiber.,"Hua-Lei Yin, Teng-Yun Chen, Zong-Wen Yu, Hui Liu, Li-Xing You, Yi-Heng Zhou, Si-Jing Chen, Yingqiu Mao, Ming-Qi Huang, Wei-Jun Zhang, Hao Chen, Ming Jun Li, Daniel Nolan, Fei Zhou, Xiao Jiang, Zhen Wang, Qiang Zhang, Xiang-Bin Wang, Jian-Wei Pan",Physical Review Letters,2016,A protocol for secure quantum communications has been demonstrated over a record-breaking distance of 404 km.,2472755367,592,29,"Seed: Cavaliere,...",
11,10.1016/J.PARCO.2016.11.002,A NASA perspective on quantum computing,"Rupak Biswas, Zhang Jiang, Kostya Kechezhi, Sergey Knysh, Salvatore Mandr, Bryan OGorman, Alejandro Perdomo-Ortiz, Andre Petukhov, John Realpe-Gmez, Eleanor Rieffel, Davide Venturelli, Fedir Vasko, Zhihui Wang",parallel computing,2017,"NASA Perspective on Quantum Computing. In the last couple of decades, the world has seen several stunning instances of quantum algorithms that provably outperform the best classical algorithms. For most problems, however, it is currently unknown whether quantum algorithms can provide an advantage, and if so by how much, or how to design quantum algorithms that realize such advantages. Many of the most challenging computational problems arising in the practical world are tackled today by heuristic algorithms that have not been mathematically proven to outperform other approaches but have been shown to be effective empirically. While quantum heuristic algorithms have been proposed, empirical testing becomes possible only as quantum computation hardware is built. The next few years will be exciting as empirical testing of quantum heuristic algorithms becomes more and more feasible. While large-scale universal quantum computers are likely decades away, special-purpose quantum computational hardware has begun to emerge, which will become more powerful over time, as well as small-scale universal quantum computers.",2555122525,62,74,Seed: Chancellor...,
